Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 13,https://www.congress.gov/bill/116th-congress/senate-bill/13,116th Congress (2019-2020),Florida Shores Protection and Fairness Act,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/3/19,"Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,Energy revenues and royalties,Florida,Gulf of Mexico,"Marine and coastal resources, fisheries",Oil and gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 14,https://www.congress.gov/bill/116th-congress/senate-bill/14,116th Congress (2019-2020),Florida Federal Judicial Relief Act,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,0,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal district courts,Florida,Judges,Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 15,https://www.congress.gov/bill/116th-congress/senate-bill/15,116th Congress (2019-2020),Liberty City Rising Act,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,0,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing and Community Development,Crime prevention,Housing and community development funding,Housing industry and standards,Low- and moderate-income housing,Public housing,Violent crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 16,https://www.congress.gov/bill/116th-congress/senate-bill/16,116th Congress (2019-2020),Defending Domestic Produce Production Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,4,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,"Loeffler, Kelly [Sen.-R-GA]","Isakson, Johnny [Sen.-R-GA]","Perdue, David [Sen.-R-GA]","Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultural trade,"Competitiveness, trade promotion, trade deficits",Foreign Trade and International Finance,Government studies and investigations,Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 17,https://www.congress.gov/bill/116th-congress/senate-bill/17,116th Congress (2019-2020),Safe Temperature Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,0,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lighting, heating, cooling",Housing and Community Development,Housing and community development funding,Housing for the elderly and disabled,Housing industry and standards,Low- and moderate-income housing,Public housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 18,https://www.congress.gov/bill/116th-congress/senate-bill/18,116th Congress (2019-2020),SAFE Hospitals Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Health care coverage and access,Hospital care,Medicaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 19,https://www.congress.gov/bill/116th-congress/senate-bill/19,116th Congress (2019-2020),Territory Health Insurance Tax Relief Act of 2019,,"Rubio, Marco [Sen.-R-FL]",,1/3/19,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,American Samoa,Caribbean area,Government information and archives,Guam,Health care costs and insurance,Health care coverage and access,Insurance industry and regulation,Northern Mariana Islands,Puerto Rico,U.S. territories and protectorates,User charges and fees,Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 21,https://www.congress.gov/bill/116th-congress/senate-bill/21,116th Congress (2019-2020),A bill making continuing appropriations for Coast Guard pay in the event an appropriations act expires prior to the enactment of a new appropriations act.,,"Thune, John [Sen.-R-SD]",,1/3/19,40,,,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 2. (text: CR S27),1/4/19,"Manchin, Joe, III [Sen.-D-WV]","Markey, Edward J. [Sen.-D-MA]","Gardner, Cory [Sen.-R-CO]","Peters, Gary C. [Sen.-D-MI]","Cruz, Ted [Sen.-R-TX]","Shaheen, Jeanne [Sen.-D-NH]","Collins, Susan M. [Sen.-R-ME]","Cantwell, Maria [Sen.-D-WA]","Blumenthal, Richard [Sen.-D-CT]","Hyde-Smith, Cindy [Sen.-R-MS]","Hirono, Mazie K. [Sen.-D-HI]","Roberts, Pat [Sen.-R-KS]","Murphy, Christopher [Sen.-D-CT]","Carper, Thomas R. [Sen.-D-DE]","Cortez Masto, Catherine [Sen.-D-NV]","Wyden, Ron [Sen.-D-OR]","Portman, Rob [Sen.-R-OH]","Warren, Elizabeth [Sen.-D-MA]","Harris, Kamala D. [Sen.-D-CA]","Wicker, Roger F. [Sen.-R-MS]","Coons, Christopher A. [Sen.-D-DE]","Young, Todd [Sen.-R-IN]","Cramer, Kevin [Sen.-R-ND]","Jones, Doug [Sen.-D-AL]","Johnson, Ron [Sen.-R-WI]","Brown, Sherrod [Sen.-D-OH]","Stabenow, Debbie [Sen.-D-MI]","Tillis, Thomas [Sen.-R-NC]","Rubio, Marco [Sen.-R-FL]","Schatz, Brian [Sen.-D-HI]","Murray, Patty [Sen.-D-WA]","Murkowski, Lisa [Sen.-R-AK]","Menendez, Robert [Sen.-D-NJ]","Hassan, Margaret Wood [Sen.-D-NH]","Moran, Jerry [Sen.-R-KS]","Scott, Rick [Sen.-R-FL]","Merkley, Jeff [Sen.-D-OR]","Duckworth, Tammy [Sen.-D-IL]","Sullivan, Dan [Sen.-R-AK]","Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportation and Public Works,Appropriations,Cemeteries and funerals,Coast guard,Department of Homeland Security,Executive agency funding and structure,Military education and training,Military personnel and dependents,Transportation costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 25,https://www.congress.gov/bill/116th-congress/senate-bill/25,116th Congress (2019-2020),EL CHAPO Act,,"Cruz, Ted [Sen.-R-TX]",,1/3/19,5,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,1/3/19,"Blackburn, Marsha [Sen.-R-TN]","Sasse, Ben [Sen.-R-NE]","Rounds, Mike [Sen.-R-SD]","Fischer, Deb [Sen.-R-NE]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Border security and unlawful immigration,Criminal procedure and sentencing,Drug trafficking and controlled substances,Latin America,Mexico,Organized crime,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 28,https://www.congress.gov/bill/116th-congress/senate-bill/28,116th Congress (2019-2020),"A bill to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and for other purposes.",,"McConnell, Mitch [Sen.-R-KY]",,1/4/19,0,,,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 4.,1/8/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public-private cooperation,U.S. and foreign investments,"Refugees, asylum, displaced persons",Conflicts and wars,Syria,Congressional oversight,Foreign aid and international relief,International Affairs,Jordan,Middle East,"Military assistance, sales, and agreements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 32,https://www.congress.gov/bill/116th-congress/senate-bill/32,116th Congress (2019-2020),Mill Springs Battlefield National Monument Act,,"McConnell, Mitch [Sen.-R-KY]",,1/8/19,0,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conflicts and wars,Congressional oversight,Historic sites and heritage areas,Kentucky,Land transfers,Military history,Monuments and memorials,Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 33,https://www.congress.gov/bill/116th-congress/senate-bill/33,116th Congress (2019-2020),"A bill to update the map of, and modify the maximum acreage available for inclusion in, the Florissant Fossil Beds National Monument.",,"Gardner, Cory [Sen.-R-CO]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado,Earth sciences,Land transfers,Monuments and memorials,"Parks, recreation areas, trails",Public Lands and Natural Resources,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 34,https://www.congress.gov/bill/116th-congress/senate-bill/34,116th Congress (2019-2020),Cambodia Trade Act of 2019,,"Cruz, Ted [Sen.-R-TX]",,1/8/19,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/8/19,"Coons, Christopher A. [Sen.-D-DE]","Menendez, Robert [Sen.-D-NJ]","Feinstein, Dianne [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congressional oversight,Tariffs,Asia,Cambodia,Foreign Trade and International Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 35,https://www.congress.gov/bill/116th-congress/senate-bill/35,116th Congress (2019-2020),Amache Study Act,,"Gardner, Cory [Sen.-R-CO]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado,Conflicts and wars,Congressional oversight,Detention of persons,Government studies and investigations,Historic sites and heritage areas,Japan,Racial and ethnic relations,U.S. history,Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 36,https://www.congress.gov/bill/116th-congress/senate-bill/36,116th Congress (2019-2020),"Crags, Colorado Land Exchange Act",,"Gardner, Cory [Sen.-R-CO]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado,"Forests, forestry, trees",Land transfers,Land use and conservation,Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 37,https://www.congress.gov/bill/116th-congress/senate-bill/37,116th Congress (2019-2020),Bolts Ditch Access and Use Act,,"Gardner, Cory [Sen.-R-CO]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado,Land use and conservation,Water storage,Water use and supply,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats",Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 38,https://www.congress.gov/bill/116th-congress/senate-bill/38,116th Congress (2019-2020),Endangered Fish Recovery Programs Extension Act of 2019,,"Gardner, Cory [Sen.-R-CO]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alternative and renewable resources,Arizona,Colorado,Congressional oversight,Endangered and threatened species,Energy revenues and royalties,Fishes,Lakes and rivers,New Mexico,Public Lands and Natural Resources,Utah,Water resources funding,Water use and supply,Wildlife conservation and habitat protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 39,https://www.congress.gov/bill/116th-congress/senate-bill/39,116th Congress (2019-2020),"No Budget, No Pay Act",,"Braun, Mike [Sen.-R-IN]",,1/8/19,16,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,1/8/19,"Loeffler, Kelly [Sen.-R-GA]","McSally, Martha [Sen.-R-AZ]","Sinema, Kyrsten [Sen.-D-AZ]","Rounds, Mike [Sen.-R-SD]","Tillis, Thomas [Sen.-R-NC]","Rosen, Jacky [Sen.-D-NV]","Capito, Shelley Moore [Sen.-R-WV]","Scott, Rick [Sen.-R-FL]","Gardner, Cory [Sen.-R-CO]","Ernst, Joni [Sen.-R-IA]","Inhofe, James M. [Sen.-R-OK]","Perdue, David [Sen.-R-GA]","Manchin, Joe, III [Sen.-D-WV]","Burr, Richard [Sen.-R-NC]","Barrasso, John [Sen.-R-WY]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriations,Budget process,Congress,"Government employee pay, benefits, personnel management",Legislative rules and procedure,Members of Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 40,https://www.congress.gov/bill/116th-congress/senate-bill/40,116th Congress (2019-2020),Bureau of Reclamation Transparency Act,,"Barrasso, John [Sen.-R-WY]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Schatz, Brian [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriations,Congressional oversight,Dams and canals,Department of the Interior,Government information and archives,Infrastructure development,Water Resources Development,Water resources funding,Water use and supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 41,https://www.congress.gov/bill/116th-congress/senate-bill/41,116th Congress (2019-2020),Red River Gradient Boundary Survey Act,,"Cornyn, John [Sen.-R-TX]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Cruz, Ted [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Lakes and rivers,Oklahoma,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
