Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 31,https://www.congress.gov/bill/116th-congress/senate-bill/31,116th Congress (2019-2020),Abraham Lincoln National Heritage Area Amendment Act,,"Duckworth, Tammy [Sen.-D-IL]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Durbin, Richard J. [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historic sites and heritage areas,Illinois,"Presidents and presidential powers, Vice Presidents",Public Lands and Natural Resources,U.S. history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 42,https://www.congress.gov/bill/116th-congress/senate-bill/42,116th Congress (2019-2020),Background Check Expansion Act,,"Murphy, Christopher [Sen.-D-CT]",,1/8/19,41,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,1/8/19,"Leahy, Patrick J. [Sen.-D-VT]","Feinstein, Dianne [Sen.-D-CA]","Murray, Patty [Sen.-D-WA]","Wyden, Ron [Sen.-D-OR]","Durbin, Richard J. [Sen.-D-IL]","Reed, Jack [Sen.-D-RI]","Schumer, Charles E. [Sen.-D-NY]","Cantwell, Maria [Sen.-D-WA]","Carper, Thomas R. [Sen.-D-DE]","Stabenow, Debbie [Sen.-D-MI]","Menendez, Robert [Sen.-D-NJ]","Brown, Sherrod [Sen.-D-OH]","Cardin, Benjamin L. [Sen.-D-MD]","Casey, Robert P., Jr. [Sen.-D-PA]","Klobuchar, Amy [Sen.-D-MN]","Sanders, Bernard [Sen.-I-VT]","Whitehouse, Sheldon [Sen.-D-RI]","Merkley, Jeff [Sen.-D-OR]","Shaheen, Jeanne [Sen.-D-NH]","Udall, Tom [Sen.-D-NM]","Warner, Mark R. [Sen.-D-VA]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Baldwin, Tammy [Sen.-D-WI]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Peters, Gary C. [Sen.-D-MI]","Cortez Masto, Catherine [Sen.-D-NV]","Duckworth, Tammy [Sen.-D-IL]","Harris, Kamala D. [Sen.-D-CA]","Hassan, Margaret Wood [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Rosen, Jacky [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crime and Law Enforcement,Criminal justice information and records,Firearms and explosives,Licensing and registrations,Crime prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 45,https://www.congress.gov/bill/116th-congress/senate-bill/45,116th Congress (2019-2020),Wood-Pawcatuck Watershed Wild and Scenic River Act,,"Reed, Jack [Sen.-D-RI]",,1/8/19,3,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources. (Sponsor introductory remarks on measure: CR S69-70),1/8/19,"Whitehouse, Sheldon [Sen.-D-RI]","Blumenthal, Richard [Sen.-D-CT]","Murphy, Christopher [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Connecticut,Land use and conservation,Public-private cooperation,Rhode Island,Watersheds,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 46,https://www.congress.gov/bill/116th-congress/senate-bill/46,116th Congress (2019-2020),Klamath Tribe Judgment Fund Repeal Act,,"Merkley, Jeff [Sen.-D-OR]",,1/8/19,1,,,House - Natural Resources | Senate - Indian Affairs,Subcommittee Hearings Held.,10/16/19,"Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian claims,Legal fees and court costs,Native Americans,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 50,https://www.congress.gov/bill/116th-congress/senate-bill/50,116th Congress (2019-2020),Columbia River In-Lieu and Treaty Fishing Access Sites Improvement Act,,"Merkley, Jeff [Sen.-D-OR]",,1/8/19,3,,,Senate - Indian Affairs,Became Public Law No: 116-99.,12/20/19,"Murray, Patty [Sen.-D-WA]","Wyden, Ron [Sen.-D-OR]","Cantwell, Maria [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congressional oversight,Electric power generation and transmission,"Environmental assessment, monitoring, research",Government studies and investigations,Hunting and fishing,Indian lands and resources rights,Oregon,Solid waste and recycling,Washington State,Water quality,Water use and supply,Native Americans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 51,https://www.congress.gov/bill/116th-congress/senate-bill/51,116th Congress (2019-2020),Little Shell Tribe of Chippewa Indians Restoration Act of 2019,,"Tester, Jon [Sen.-D-MT]",,1/8/19,1,,,Senate - Indian Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 399.,1/6/20,"Daines, Steve [Sen.-R-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal-Indian relations,Indian lands and resources rights,Indian social and development programs,Land transfers,Montana,Native Americans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 57,https://www.congress.gov/bill/116th-congress/senate-bill/57,116th Congress (2019-2020),Pike National Historic Trail Study Act,,"Bennet, Michael F. [Sen.-D-CO]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Colorado,Historic sites and heritage areas,Kansas,Louisiana,Military history,Missouri,Nebraska,New Mexico,"Parks, recreation areas, trails",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 58,https://www.congress.gov/bill/116th-congress/senate-bill/58,116th Congress (2019-2020),Fowler and Boskoff Peaks Designation Act,,"Bennet, Michael F. [Sen.-D-CO]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Colorado,Congressional tributes,"Forests, forestry, trees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 59,https://www.congress.gov/bill/116th-congress/senate-bill/59,116th Congress (2019-2020),Arapaho National Forest Boundary Adjustment Act of 2019,,"Bennet, Michael F. [Sen.-D-CO]",,1/8/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/8/19,"Gardner, Cory [Sen.-R-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Colorado,"Forests, forestry, trees",Land transfers,Motor vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 60,https://www.congress.gov/bill/116th-congress/senate-bill/60,116th Congress (2019-2020),Yellowstone Gateway Protection Act,,"Tester, Jon [Sen.-D-MT]",,1/9/19,1,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/9/19,"Daines, Steve [Sen.-R-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,Alternative and renewable resources,"Forests, forestry, trees",Land transfers,Mining,Montana,Oil and gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 62,https://www.congress.gov/bill/116th-congress/senate-bill/62,116th Congress (2019-2020),Empowering Medicare Seniors to Negotiate Drug Prices Act of 2019,,"Klobuchar, Amy [Sen.-D-MN]",,1/9/19,34,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/9/19,"Coons, Christopher A. [Sen.-D-DE]","Harris, Kamala D. [Sen.-D-CA]","Hassan, Margaret Wood [Sen.-D-NH]","Van Hollen, Chris [Sen.-D-MD]","Smith, Tina [Sen.-D-MN]","Leahy, Patrick J. [Sen.-D-VT]","Murray, Patty [Sen.-D-WA]","Wyden, Ron [Sen.-D-OR]","Reed, Jack [Sen.-D-RI]","Schumer, Charles E. [Sen.-D-NY]","Cantwell, Maria [Sen.-D-WA]","Stabenow, Debbie [Sen.-D-MI]","Brown, Sherrod [Sen.-D-OH]","Cardin, Benjamin L. [Sen.-D-MD]","Whitehouse, Sheldon [Sen.-D-RI]","Merkley, Jeff [Sen.-D-OR]","Shaheen, Jeanne [Sen.-D-NH]","Udall, Tom [Sen.-D-NM]","Warner, Mark R. [Sen.-D-VA]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Manchin, Joe, III [Sen.-D-WV]","Blumenthal, Richard [Sen.-D-CT]","Baldwin, Tammy [Sen.-D-WI]","Heinrich, Martin [Sen.-D-NM]","Hirono, Mazie K. [Sen.-D-HI]","Kaine, Tim [Sen.-D-VA]","King, Angus S., Jr. [Sen.-I-ME]","Murphy, Christopher [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]","Peters, Gary C. [Sen.-D-MI]","Cortez Masto, Catherine [Sen.-D-NV]","Duckworth, Tammy [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Health care costs and insurance,Inflation and prices,Medicare,Prescription drugs,Public contracts and procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 63,https://www.congress.gov/bill/116th-congress/senate-bill/63,116th Congress (2019-2020),Bipartisan Budget and Appropriations Reform Act of 2019,,"Whitehouse, Sheldon [Sen.-D-RI]",,1/9/19,7,,,Senate - Budget,Read twice and referred to the Committee on the Budget.,1/9/19,"Coons, Christopher A. [Sen.-D-DE]","Perdue, David [Sen.-R-GA]","Blunt, Roy [Sen.-R-MO]","Kaine, Tim [Sen.-D-VA]","Braun, Mike [Sen.-R-IN]","Lankford, James [Sen.-R-OK]","King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriations,Budget process,Congressional committees,Congressional oversight,Defense spending,Economic performance and conditions,House Committee on the Budget,Legislative rules and procedure,Members of Congress,Senate Committee on the Budget,Unemployment,Economics and Public Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 64,https://www.congress.gov/bill/116th-congress/senate-bill/64,116th Congress (2019-2020),Preserve Access to Affordable Generics and Biosimilars Act,,"Klobuchar, Amy [Sen.-D-MN]",,1/9/19,7,,,Senate - Judiciary,Read twice and referred to the Committee on the Judiciary.,1/9/19,"Collins, Susan M. [Sen.-R-ME]","Van Hollen, Chris [Sen.-D-MD]","Grassley, Chuck [Sen.-R-IA]","Leahy, Patrick J. [Sen.-D-VT]","Ernst, Joni [Sen.-R-IA]","Cramer, Kevin [Sen.-R-ND]","Durbin, Richard J. [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative law and regulatory procedures,Civil actions and liability,Competition and antitrust,Contracts and agency,Federal Trade Commission (FTC),Intellectual property,Judicial review and appeals,Licensing and registrations,Marketing and advertising,Prescription drugs,Health,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 65,https://www.congress.gov/bill/116th-congress/senate-bill/65,116th Congress (2019-2020),Ensuring Diverse Leadership Act of 2019,,"Harris, Kamala D. [Sen.-D-CA]",,1/9/19,4,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",1/9/19,"Feinstein, Dianne [Sen.-D-CA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Warren, Elizabeth [Sen.-D-MA]","Booker, Cory A. [Sen.-D-NJ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Congressional oversight,Executive agency funding and structure,Federal Reserve System,Federal officials,Minority employment,Racial and ethnic relations,"Sex, gender, sexual orientation discrimination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
