Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date Offered,Date of Introduction,Number of Cosponsors,Date Submitted,Date Proposed,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
S. 11,https://www.congress.gov/bill/115th-congress/senate-bill/11,115th Congress (2017-2018),Jerusalem Embassy and Recognition Act,,"Heller, Dean [Sen.-R-NV]",,1/3/17,8,,,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,1/3/17,"Inhofe, James M. [Sen.-R-OK]","Rubio, Marco [Sen.-R-FL]","Cruz, Ted [Sen.-R-TX]","Cotton, Tom [Sen.-R-AR]","Cornyn, John [Sen.-R-TX]","Hatch, Orrin G. [Sen.-R-UT]","Johnson, Ron [Sen.-R-WI]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriations,Arab-Israeli relations,Building construction,Congressional oversight,Department of State,"Diplomacy, foreign officials, Americans abroad","Sovereignty, recognition, national governance and status",Government information and archives,International Affairs,Israel,Middle East,"Presidents and presidential powers, Vice Presidents","Government buildings, facilities, and property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 12,https://www.congress.gov/bill/115th-congress/senate-bill/12,115th Congress (2017-2018),Increasing the Department of Veterans Affairs Accountability to Veterans Act of 2017,,"Moran, Jerry [Sen.-R-KS]",,1/3/17,2,,,House - Veterans' Affairs | Senate - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,5/26/17,"Bennet, Michael F. [Sen.-D-CO]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government employee pay, benefits, personnel management","Government ethics and transparency, public corruption",Public contracts and procurement,Armed Forces and National Security,Congressional oversight,Department of Veterans Affairs,Employee performance,Federal officials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 13,https://www.congress.gov/bill/115th-congress/senate-bill/13,115th Congress (2017-2018),No Windfalls for Government Service Act,,"Whitehouse, Sheldon [Sen.-D-RI]",,1/3/17,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/17,"Feinstein, Dianne [Sen.-D-CA]","Baldwin, Tammy [Sen.-D-WI]","Warren, Elizabeth [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income tax exclusion,Taxation,"Government ethics and transparency, public corruption","Government employee pay, benefits, personnel management",Federal officials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 14,https://www.congress.gov/bill/115th-congress/senate-bill/14,115th Congress (2017-2018),"No Budget, No Pay Act",,"Heller, Dean [Sen.-R-NV]",,1/3/17,9,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,1/3/17,"Hassan, Margaret Wood [Sen.-D-NH]","Perdue, David [Sen.-R-GA]","Barrasso, John [Sen.-R-WY]","Burr, Richard [Sen.-R-NC]","Capito, Shelley Moore [Sen.-R-WV]","Manchin, Joe, III [Sen.-D-WV]","Ernst, Joni [Sen.-R-IA]","Gardner, Cory [Sen.-R-CO]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Members of Congress,Legislative rules and procedure,"Government employee pay, benefits, personnel management",Congress,Budget process,Appropriations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 15,https://www.congress.gov/bill/115th-congress/senate-bill/15,115th Congress (2017-2018),Iran Ballistic Missile Sanctions Act,,"Heller, Dean [Sen.-R-NV]",,1/3/17,0,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",1/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government studies and investigations,Government information and archives,Foreign property,Foreign and international banking,Europe,Congressional oversight,Aviation and airports,Asia,Arms control and nonproliferation,Alliances,Securities,Spacecraft and satellites,Trade restrictions,United Nations,International Affairs,Iran,Middle East,North Korea,Visas and passports,Sanctions,Nuclear weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 16,https://www.congress.gov/bill/115th-congress/senate-bill/16,115th Congress (2017-2018),Federal Reserve Transparency Act of 2017,,"Paul, Rand [Sen.-R-KY]",,1/3/17,16,,,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",1/3/17,"Grassley, Chuck [Sen.-R-IA]","Capito, Shelley Moore [Sen.-R-WV]","Isakson, Johnny [Sen.-R-GA]","Risch, James E. [Sen.-R-ID]","Blunt, Roy [Sen.-R-MO]","Boozman, John [Sen.-R-AR]","Portman, Rob [Sen.-R-OH]","Heller, Dean [Sen.-R-NV]","Lankford, James [Sen.-R-OK]","Lee, Mike [Sen.-R-UT]","Daines, Steve [Sen.-R-MT]","Barrasso, John [Sen.-R-WY]","Scott, Tim [Sen.-R-SC]","Young, Todd [Sen.-R-IN]","Gardner, Cory [Sen.-R-CO]","Rubio, Marco [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance and Financial Sector,Government studies and investigations,Accounting and auditing,"Bank accounts, deposits, capital",Congressional oversight,Federal Reserve System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 17,https://www.congress.gov/bill/115th-congress/senate-bill/17,115th Congress (2017-2018),GAO Access and Oversight Act of 2017,,"Sasse, Ben [Sen.-R-NE]",,1/3/17,18,,,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,1/3/17,"Tester, Jon [Sen.-D-MT]","Enzi, Michael B. [Sen.-R-WY]","Carper, Thomas R. [Sen.-D-DE]","Johnson, Ron [Sen.-R-WI]","Schatz, Brian [Sen.-D-HI]","Baldwin, Tammy [Sen.-D-WI]","McCaskill, Claire [Sen.-D-MO]","Perdue, David [Sen.-R-GA]","McCain, John [Sen.-R-AZ]","Risch, James E. [Sen.-R-ID]","Lee, Mike [Sen.-R-UT]","Portman, Rob [Sen.-R-OH]","Daines, Steve [Sen.-R-MT]","Lankford, James [Sen.-R-OK]","Tillis, Thomas [Sen.-R-NC]","Duckworth, Tammy [Sen.-D-IL]","Young, Todd [Sen.-R-IN]","Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Accountability Office (GAO),Government information and archives,Government Operations and Politics,Congressional oversight,Congressional agencies,Civil actions and liability,Administrative law and regulatory procedures,Government studies and investigations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 18,https://www.congress.gov/bill/115th-congress/senate-bill/18,115th Congress (2017-2018),Fair Tax Act of 2017,,"Moran, Jerry [Sen.-R-KS]",,1/3/17,4,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/17,"Perdue, David [Sen.-R-GA]","Isakson, Johnny [Sen.-R-GA]","Inhofe, James M. [Sen.-R-OK]","Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tax administration and collection, taxpayers",Tax reform and tax simplification,Taxation,Taxation of foreign income,Transfer and inheritance taxes,Administrative law and regulatory procedures,Constitution and constitutional amendments,Department of the Treasury,Employment taxes,Executive agency funding and structure,Foreign and international corporations,Fraud offenses and financial crimes,Gambling,Games and hobbies,General taxation matters,Government information and archives,Government trust funds,Income tax credits,Income tax deductions,Income tax rates,"Interest, dividends, interest rates",State and local taxation,State and local government operations,Social security and elderly assistance,Small business,Sales and excise taxes,Poverty and welfare assistance,Medicare,Intergovernmental relations,Internal Revenue Service (IRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 19,https://www.congress.gov/bill/115th-congress/senate-bill/19,115th Congress (2017-2018),MOBILE NOW Act,,"Thune, John [Sen.-R-SD]",,1/3/17,1,,,"Senate - Commerce, Science, and Transportation",Held at the desk.,8/4/17,"Nelson, Bill [Sen.-D-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education of the disadvantaged,Consumer affairs,Federal Communications Commission (FCC),"Government buildings, facilities, and property",Government information and archives,Government studies and investigations,Internet and video services,Land use and conservation,Licensing and registrations,Roads and highways,Rural conditions and development,"Science, Technology, Communications",State and local taxation,Technology transfer and commercialization,Telephone and wireless communication,Transportation programs funding,User charges and fees,Congressional oversight,Civil actions and liability,Administrative law and regulatory procedures,Elementary and secondary education,"Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 20,https://www.congress.gov/bill/115th-congress/senate-bill/20,115th Congress (2017-2018),CEO-Employee Paycheck Fairness Act of 2017,,"Van Hollen, Chris [Sen.-D-MD]",,1/3/17,0,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corporate finance and management,Taxation,Inflation and prices,Income tax deductions,Economic performance and conditions,Wages and earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 21,https://www.congress.gov/bill/115th-congress/senate-bill/21,115th Congress (2017-2018),Regulations from the Executive in Need of Scrutiny Act of 2017,,"Paul, Rand [Sen.-R-KY]",,1/4/17,39,,,Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 239.,10/16/17,"Boozman, John [Sen.-R-AR]","Johnson, Ron [Sen.-R-WI]","Heller, Dean [Sen.-R-NV]","Cruz, Ted [Sen.-R-TX]","Young, Todd [Sen.-R-IN]","Risch, James E. [Sen.-R-ID]","Portman, Rob [Sen.-R-OH]","Kennedy, John [Sen.-R-LA]","Thune, John [Sen.-R-SD]","Barrasso, John [Sen.-R-WY]","Fischer, Deb [Sen.-R-NE]","Scott, Tim [Sen.-R-SC]","Cassidy, Bill [Sen.-R-LA]","Cotton, Tom [Sen.-R-AR]","Flake, Jeff [Sen.-R-AZ]","Wicker, Roger F. [Sen.-R-MS]","Cornyn, John [Sen.-R-TX]","Crapo, Mike [Sen.-R-ID]","Gardner, Cory [Sen.-R-CO]","Grassley, Chuck [Sen.-R-IA]","Inhofe, James M. [Sen.-R-OK]","Sullivan, Dan [Sen.-R-AK]","Toomey, Patrick [Sen.-R-PA]","Enzi, Michael B. [Sen.-R-WY]","Blunt, Roy [Sen.-R-MO]","McCain, John [Sen.-R-AZ]","Roberts, Pat [Sen.-R-KS]","Perdue, David [Sen.-R-GA]","Isakson, Johnny [Sen.-R-GA]","Rubio, Marco [Sen.-R-FL]","Moran, Jerry [Sen.-R-KS]","Capito, Shelley Moore [Sen.-R-WV]","Daines, Steve [Sen.-R-MT]","Strange, Luther [Sen.-R-AL]","Lee, Mike [Sen.-R-UT]","Hyde-Smith, Cindy [Sen.-R-MS]","Ernst, Joni [Sen.-R-IA]","Rounds, Mike [Sen.-R-SD]","Sasse, Ben [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial policy and productivity,Government Operations and Politics,Competition and antitrust,Unemployment,Legislative rules and procedure,Judicial review and appeals,Inflation and prices,Economic performance and conditions,Administrative law and regulatory procedures,Advanced technology and technological innovations,Business investment and capital,"Competitiveness, trade promotion, trade deficits",Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 22,https://www.congress.gov/bill/115th-congress/senate-bill/22,115th Congress (2017-2018),Nevada Land Sovereignty Act,,"Heller, Dean [Sen.-R-NV]",,1/4/17,0,,,Senate - Energy and Natural Resources,Read twice and referred to the Committee on Energy and Natural Resources.,1/4/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Lands and Natural Resources,"Wilderness and natural areas, wildlife refuges, wild rivers, habitats","Parks, recreation areas, trails",Nevada,Monuments and memorials,Land use and conservation,Congressional oversight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 23,https://www.congress.gov/bill/115th-congress/senate-bill/23,115th Congress (2017-2018),Biological Implant Tracking and Veteran Safety Act of 2017,,"Cassidy, Bill [Sen.-R-LA]",,1/4/17,1,,,Senate - Veterans' Affairs,Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 115-299.,5/17/17,"Tester, Jon [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public contracts and procurement,Veterans' medical care,Product safety and quality,Organ and tissue donation and transplantation,Licensing and registrations,Armed Forces and National Security,Business records,Cell biology and embryology,"Drug safety, medical device, and laboratory regulation",Congressional oversight,Department of Veterans Affairs,"Government ethics and transparency, public corruption",Health information and medical records,"Health technology, devices, supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 24,https://www.congress.gov/bill/115th-congress/senate-bill/24,115th Congress (2017-2018),"A bill to expand eligibility for hospital care and medical services under section 101 of the Veterans Access, Choice, and Accountability Act of 2014 to include veterans who are age 75 or older, and for other purposes.",,"Cassidy, Bill [Sen.-R-LA]",,1/4/17,0,,,Senate - Veterans' Affairs,Read twice and referred to the Committee on Veterans' Affairs.,1/4/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aging,Armed Forces and National Security,Health care coverage and access,Hospital care,Veterans' medical care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 25,https://www.congress.gov/bill/115th-congress/senate-bill/25,115th Congress (2017-2018),Right Start Child Care and Education Act of 2017,,"Shaheen, Jeanne [Sen.-D-NH]",,1/4/17,3,,,Senate - Finance,Read twice and referred to the Committee on Finance.,1/4/17,"Gillibrand, Kirsten E. [Sen.-D-NY]","Klobuchar, Amy [Sen.-D-MN]","Schatz, Brian [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Teaching, teachers, curricula",Child care and development,Employee benefits and pensions,Income tax credits,Income tax exclusion,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 26,https://www.congress.gov/bill/115th-congress/senate-bill/26,115th Congress (2017-2018),Presidential Tax Transparency Act,,"Wyden, Ron [Sen.-D-OR]",,1/4/17,23,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,1/4/17,"Cantwell, Maria [Sen.-D-WA]","Coons, Christopher A. [Sen.-D-DE]","Van Hollen, Chris [Sen.-D-MD]","Merkley, Jeff [Sen.-D-OR]","Bennet, Michael F. [Sen.-D-CO]","Whitehouse, Sheldon [Sen.-D-RI]","Carper, Thomas R. [Sen.-D-DE]","Menendez, Robert [Sen.-D-NJ]","Stabenow, Debbie [Sen.-D-MI]","Leahy, Patrick J. [Sen.-D-VT]","Harris, Kamala D. [Sen.-D-CA]","Udall, Tom [Sen.-D-NM]","Kaine, Tim [Sen.-D-VA]","Murphy, Christopher [Sen.-D-CT]","Booker, Cory A. [Sen.-D-NJ]","Shaheen, Jeanne [Sen.-D-NH]","Feinstein, Dianne [Sen.-D-CA]","Cardin, Benjamin L. [Sen.-D-MD]","Warren, Elizabeth [Sen.-D-MA]","Markey, Edward J. [Sen.-D-MA]","Baldwin, Tammy [Sen.-D-WI]","Gillibrand, Kirsten E. [Sen.-D-NY]","Franken, Al [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Operations and Politics,Government information and archives,"Government ethics and transparency, public corruption","Elections, voting, political campaign regulation","Presidents and presidential powers, Vice Presidents","Tax administration and collection, taxpayers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 27,https://www.congress.gov/bill/115th-congress/senate-bill/27,115th Congress (2017-2018),"A bill to establish an independent commission to examine and report on the facts regarding the extent of Russian official and unofficial cyber operations and other attempts to interfere in the 2016 United States national election, and for other purposes.",,"Cardin, Benjamin L. [Sen.-D-MD]",,1/4/17,28,,,Senate - Rules and Administration,Read twice and referred to the Committee on Rules and Administration.,1/4/17,"Casey, Robert P., Jr. [Sen.-D-PA]","Merkley, Jeff [Sen.-D-OR]","Duckworth, Tammy [Sen.-D-IL]","Gillibrand, Kirsten E. [Sen.-D-NY]","Warren, Elizabeth [Sen.-D-MA]","Baldwin, Tammy [Sen.-D-WI]","Heitkamp, Heidi [Sen.-D-ND]","Shaheen, Jeanne [Sen.-D-NH]","Nelson, Bill [Sen.-D-FL]","Smith, Tina [Sen.-D-MN]","Feinstein, Dianne [Sen.-D-CA]","Van Hollen, Chris [Sen.-D-MD]","Durbin, Richard J. [Sen.-D-IL]","Bennet, Michael F. [Sen.-D-CO]","Cantwell, Maria [Sen.-D-WA]","Klobuchar, Amy [Sen.-D-MN]","Murray, Patty [Sen.-D-WA]","Markey, Edward J. [Sen.-D-MA]","Franken, Al [Sen.-D-MN]","Brown, Sherrod [Sen.-D-OH]","Peters, Gary C. [Sen.-D-MI]","Leahy, Patrick J. [Sen.-D-VT]","Carper, Thomas R. [Sen.-D-DE]","Blumenthal, Richard [Sen.-D-CT]","Heinrich, Martin [Sen.-D-NM]","Murphy, Christopher [Sen.-D-CT]","Udall, Tom [Sen.-D-NM]","Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criminal investigation, prosecution, interrogation",Congressional oversight,Computer security and identity theft,Advisory bodies,"Elections, voting, political campaign regulation",Russia,"Intelligence activities, surveillance, classified information",Government studies and investigations,Government Operations and Politics,"Government ethics and transparency, public corruption",Subversive activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 28,https://www.congress.gov/bill/115th-congress/senate-bill/28,115th Congress (2017-2018),Health Savings Account Expansion Act of 2017,,"Flake, Jeff [Sen.-R-AZ]",,1/4/17,2,,,Senate - Finance,Read twice and referred to the Committee on Finance. (Sponsor introductory remarks on measure: CR S60-61),1/4/17,"Johnson, Ron [Sen.-R-WI]","Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income tax deductions,Health care coverage and access,Health care costs and insurance,Income tax rates,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
